Hotel California,,,,
Fantasy Girl,,,,
Hold On Loosely,,,,
Rockin' Into the Night,,,,
Art For Arts Sake,,,,
Kryptonite,,,,
Loser,,,,
When I'm Gone,,,,
What's Up?,,,,
Take On Me,,,,
"Baby, Please Don't Go",,,,
Back In Black,,,,
Big Gun,,,,
CAN'T STOP ROCK'N'ROLL,,,, 
Dirty Deeds Done Dirt Cheap,,,,
For Those About To Rock,,,,
Girls Got Rhythm,,,,
Hard As A Rock,,,,
Have a Drink On Me,,,,
Hells Bells,,,,
Highway To Hell,,,,
It's A Long Way To The Top,,,,
Jailbreak,,,,
Let There Be Rock,,,,
Let's Get It Up,,,,
Live Wire,,,,
Moneytalks,,,,
Night Prowler,,,,
Rock and Roll Ain't Noise Pollution,,,,
Shoot To Thrill,,,,
Shot Down In Flames,,,,
Sin City,,,,
T.N.T.,,,,
Thunderstruck,,,,
Touch Too Much,,,,
What Do You Do For Money Honey,,,,
Who Made Who,,,,
Whole Lotta Rosie,,,,
You Shook Me All Night Long,,,,
How Long,,,,
Dog On A Leash,,,,
Angel,,,,
"Baby, Please Don't Go",,,,
Back in the Saddle,,,,
Big Ten Inch,,,,
Come Together,,,,
Crazy,,,,
Cryin',,,,
Draw The Line,,,,
Dream On,,,,
Dude (Looks Like a Lady),,,,
Jaded,,,,
Janie's Got A Gun,,,,
Kings and Queens,,,,
Last Child,,,,
Let the Music Do the Talking,,,,
Livin' On The Edge,,,,
Love In An Elevator,,,,
Mama Kin,,,,
No More No More,,,,
One Way Street,,,,
Pink,,,,
Rag Doll,,,,
Same Old Song and Dance,,,,
Seasons of Wither,,,,
Sweet Emotion,,,,
The Other Side,,,,
Toys in the Attic,,,,
Train Kept A-Rollin',,,,
Walk This Way,,,,
What It Takes,,,,
You See Me Crying,,,,
Hand In My Pocket,,,,
You Oughta Know,,,,
Black Velvet,,,,
Fantasy,,,,
BE MY LOVER,,,,
Billion Dollar Babies,,,,
Eighteen,,,,
Elected,,,,
House Of Fire,,,,
I'm Eighteen,,,,
No More Mr. Nice Guy,,,,
School's Out,,,,
Under My Wheels,,,,
Welcome To My Nightmare,,,,
Down in a Hole,,,,
Man In The Box,,,,
No Excuses,,,,
Rooster,,,,
Them Bones,,,,
Would?,,,,
Ain't Wastin' Time No More,,,,
Blue Sky,,,,
Good Clean Fun,,,,
In Memory Of Elizabeth Reed,,,,
Jessica,,,,
Melissa,,,,
Midnight Rider,,,,
No One to Run With,,,,
One Way Out,,,,
Ramblin' Man,,,,
Southbound,,,,
Statesboro Blues,,,,
Whippin' Post,,,,
A Horse With No Name,,,,
Sister Golden Hair,,,,
Ventura Highway,,,,
Don't Bring Me Down,,,,
Don't Let Me Be Misunderstood,,,,
Immigrant Song,,,,
Roller,,,,
Hold Your Head Up,,,,
Coming into Los Angeles,,,,
Wayside,,,,
Heat of the Moment,,,,
Only Time Will Tell,,,,
So Into You,,,,
Spooky,,,,
Like a Stone,,,,
Blondes In Black Cars,,,,
Turn Up the Radio,,,,
Rock And Roll Party In The Streets,,,,
Let It Ride,,,,
Roll On Down The Highway,,,,
Takin' Care Of Business,,,,
You Ain't Seen Nothin' Yet,,,,
Bad Company,,,,
Burnin' Sky,,,,
Can't Get Enough,,,,
Feel Like Makin' Love,,,,
